,ExternalTFIDF,NieghborID,TestID
0, 0.,2427374022,866110653941108736
1, 0.,50923979,866110653941108736
2, 0.,3035072972,866110653941108736
3, 0.,33360338,866110653941108736
4, 0.,4919790059,866110653941108736
5, 0.,837028350,866110653941108736
6, 0.,148900362,866110653941108736
7, 0.,862709225444614144,866110653941108736
8, 0.,937572964551106560,866110653941108736
9, 0.,941143481728114688,866110653941108736
10, 0.,42666532,866110653941108736
11, 0.,495225400,866110653941108736
12, 0.,945533940126928896,866110653941108736
13, 0.,973844858149490688,866110653941108736
14, 0.,813689951095312384,866110653941108736
15, 0.,959065773040947200,866110653941108736
16, 0.,922044410187173888,866110653941108736
17, 0.,3041561189,866110653941108736
18, 0.,19401317,866110653941108736
19, 0.,262244974,866110653941108736
20, 0.96132768,930708477403480064,818933809106341888
21, 0.94915852,809817002470731776,818933809106341888
22, 0.90893004,818933809106341888,818933809106341888
23, 0.90418559,807980910951931905,818933809106341888
24, 0.84085726,964951327523655682,818933809106341888
25, 0.8343267,198676121,818933809106341888
26, 0.83185243,941642556827471872,818933809106341888
27, 0.82310151,871003323771441152,818933809106341888
28, 0.80817478,835881406882529280,818933809106341888
29, 0.8029061,766786784,818933809106341888
30, 0.79857252,17239759,818933809106341888
31, 0.77938543,963196619339464704,818933809106341888
32, 0.77242004,119408571,818933809106341888
33, 0.77022366,839018970023747584,818933809106341888
34, 0.76540309,3162646291,818933809106341888
35, 0.76310273,853210872281522176,818933809106341888
36, 0.76061284,948832473814847488,818933809106341888
37, 0.75409152,30414789,818933809106341888
38, 0.74579248,706948957654528000,818933809106341888
39, 0.73639744,832563243675693056,818933809106341888
40, 0.,2427374022,3261827681
41, 0.,50923979,3261827681
42, 0.,3035072972,3261827681
43, 0.,33360338,3261827681
44, 0.,4919790059,3261827681
45, 0.,837028350,3261827681
46, 0.,148900362,3261827681
47, 0.,862709225444614144,3261827681
48, 0.,937572964551106560,3261827681
49, 0.,941143481728114688,3261827681
50, 0.,42666532,3261827681
51, 0.,495225400,3261827681
52, 0.,945533940126928896,3261827681
53, 0.,973844858149490688,3261827681
54, 0.,813689951095312384,3261827681
55, 0.,959065773040947200,3261827681
56, 0.,922044410187173888,3261827681
57, 0.,3041561189,3261827681
58, 0.,19401317,3261827681
59, 0.,262244974,3261827681
60, 0.,2427374022,2869103344
61, 0.,50923979,2869103344
62, 0.,3035072972,2869103344
63, 0.,33360338,2869103344
64, 0.,4919790059,2869103344
65, 0.,837028350,2869103344
66, 0.,148900362,2869103344
67, 0.,862709225444614144,2869103344
68, 0.,937572964551106560,2869103344
69, 0.,941143481728114688,2869103344
70, 0.,42666532,2869103344
71, 0.,495225400,2869103344
72, 0.,945533940126928896,2869103344
73, 0.,973844858149490688,2869103344
74, 0.,813689951095312384,2869103344
75, 0.,959065773040947200,2869103344
76, 0.,922044410187173888,2869103344
77, 0.,3041561189,2869103344
78, 0.,19401317,2869103344
79, 0.,262244974,2869103344
80, 0.,2427374022,899648533510316032
81, 0.,50923979,899648533510316032
82, 0.,3035072972,899648533510316032
83, 0.,33360338,899648533510316032
84, 0.,4919790059,899648533510316032
85, 0.,837028350,899648533510316032
86, 0.,148900362,899648533510316032
87, 0.,862709225444614144,899648533510316032
88, 0.,937572964551106560,899648533510316032
89, 0.,941143481728114688,899648533510316032
90, 0.,42666532,899648533510316032
91, 0.,495225400,899648533510316032
92, 0.,945533940126928896,899648533510316032
93, 0.,973844858149490688,899648533510316032
94, 0.,813689951095312384,899648533510316032
95, 0.,959065773040947200,899648533510316032
96, 0.,922044410187173888,899648533510316032
97, 0.,3041561189,899648533510316032
98, 0.,19401317,899648533510316032
99, 0.,262244974,899648533510316032
100, 0.,2427374022,845591658062241793
101, 0.,50923979,845591658062241793
102, 0.,3035072972,845591658062241793
103, 0.,33360338,845591658062241793
104, 0.,4919790059,845591658062241793
105, 0.,837028350,845591658062241793
106, 0.,148900362,845591658062241793
107, 0.,862709225444614144,845591658062241793
108, 0.,937572964551106560,845591658062241793
109, 0.,941143481728114688,845591658062241793
110, 0.,42666532,845591658062241793
111, 0.,495225400,845591658062241793
112, 0.,945533940126928896,845591658062241793
113, 0.,973844858149490688,845591658062241793
114, 0.,813689951095312384,845591658062241793
115, 0.,959065773040947200,845591658062241793
116, 0.,922044410187173888,845591658062241793
117, 0.,3041561189,845591658062241793
118, 0.,19401317,845591658062241793
119, 0.,262244974,845591658062241793
120, 0.,2427374022,752081253113880577
121, 0.,50923979,752081253113880577
122, 0.,3035072972,752081253113880577
123, 0.,33360338,752081253113880577
124, 0.,4919790059,752081253113880577
125, 0.,837028350,752081253113880577
126, 0.,148900362,752081253113880577
127, 0.,862709225444614144,752081253113880577
128, 0.,937572964551106560,752081253113880577
129, 0.,941143481728114688,752081253113880577
130, 0.,42666532,752081253113880577
131, 0.,495225400,752081253113880577
132, 0.,945533940126928896,752081253113880577
133, 0.,973844858149490688,752081253113880577
134, 0.,813689951095312384,752081253113880577
135, 0.,959065773040947200,752081253113880577
136, 0.,922044410187173888,752081253113880577
137, 0.,3041561189,752081253113880577
138, 0.,19401317,752081253113880577
139, 0.,262244974,752081253113880577
140, 0.,2427374022,181701405
141, 0.,50923979,181701405
142, 0.,3035072972,181701405
143, 0.,33360338,181701405
144, 0.,4919790059,181701405
145, 0.,837028350,181701405
146, 0.,148900362,181701405
147, 0.,862709225444614144,181701405
148, 0.,937572964551106560,181701405
149, 0.,941143481728114688,181701405
150, 0.,42666532,181701405
151, 0.,495225400,181701405
152, 0.,945533940126928896,181701405
153, 0.,973844858149490688,181701405
154, 0.,813689951095312384,181701405
155, 0.,959065773040947200,181701405
156, 0.,922044410187173888,181701405
157, 0.,3041561189,181701405
158, 0.,19401317,181701405
159, 0.,262244974,181701405
160, 0.,2427374022,4068969256
161, 0.,50923979,4068969256
162, 0.,3035072972,4068969256
163, 0.,33360338,4068969256
164, 0.,4919790059,4068969256
165, 0.,837028350,4068969256
166, 0.,148900362,4068969256
167, 0.,862709225444614144,4068969256
168, 0.,937572964551106560,4068969256
169, 0.,941143481728114688,4068969256
170, 0.,42666532,4068969256
171, 0.,495225400,4068969256
172, 0.,945533940126928896,4068969256
173, 0.,973844858149490688,4068969256
174, 0.,813689951095312384,4068969256
175, 0.,959065773040947200,4068969256
176, 0.,922044410187173888,4068969256
177, 0.,3041561189,4068969256
178, 0.,19401317,4068969256
179, 0.,262244974,4068969256
180, 0.,2427374022,431983412
181, 0.,50923979,431983412
182, 0.,3035072972,431983412
183, 0.,33360338,431983412
184, 0.,4919790059,431983412
185, 0.,837028350,431983412
186, 0.,148900362,431983412
187, 0.,862709225444614144,431983412
